date,name,type
2014-02-14,Valentine's Day,Observance
2014-02-14,Statehood Day,Local observance
2014-02-15,Susan B. Anthony's Birthday,State Observation
2014-02-16,Elizabeth Peratrovich Day,State Observation
2014-02-17,Presidents' Day,Federal Holiday
2014-02-17,Presidents' Day,State holiday
2014-02-17,Presidents' Day,State Legal Holiday
2014-02-17,Daisy Gatson Bates Day,State holiday
2014-02-20,World Day of Social Justice,United Nations observance
2014-02-21,International Mother Language Day,United Nations observance
2014-02-25,George Rogers Clark Day,State Observation
2014-02-27,Maha Shivaratri,Hindu Holiday
2014-02-28,Linus Pauling Day,Local observance
2014-03-01,Zero Discrimination Day,United Nations observance
2014-03-01,Self-Injury Awareness Day,Worldwide observance
2014-03-01,St. David's Day,"Observance, Christian"
2014-03-01,First Day of Women's History Month,Annual monthly observance
2014-03-01,First Day of Irish American Heritage Month,Annual monthly observance
2014-03-02,Texas Independence Day,State holiday
2014-03-03,World Wildlife Day,United Nations observance
2014-03-03,Casimir Pulaski Day,State Observation
2014-03-03,Read Across America Day,Observance
2014-03-04,Shrove Tuesday/Mardi Gras,State holiday
2014-03-04,Shrove Tuesday/Mardi Gras,"Observance, Christian"
2014-03-04,Casimir Pulaski Day,State Observation
2014-03-04,Town Meeting Day,State holiday
2014-03-05,Ash Wednesday,Christian
2014-03-07,Employee Appreciation Day,Observance
2014-03-08,International Women's Day,United Nations observance
2014-03-09,Daylight Saving Time starts,Clock change/Daylight Saving Time
2014-03-13,World Kidney Day,Worldwide observance
2014-03-16,Holi,Hindu Holiday
2014-03-16,Purim,Jewish holiday
2014-03-17,St. Patrick's Day,"Observance, Christian"
2014-03-17,Evacuation Day,State holiday
2014-03-20,French Language Day,United Nations observance
2014-03-20,International Day of Happiness,United Nations observance
2014-03-20,March Equinox,Season
2014-03-21,International Day for the Elimination of Racial Discrimination,United Nations observance
2014-03-21,World Poetry Day,United Nations observance
2014-03-21,International Day of Nowruz,United Nations observance
2014-03-21,World Down Syndrome Day,United Nations observance
2014-03-21,International Day of Forests,United Nations observance
2014-03-22,World Water Day,United Nations observance
2014-03-23,World Meteorological Day,United Nations observance
2014-03-24,World Tuberculosis Day,United Nations observance
2014-03-24,International Day for the Right to the Truth concerning Gross Human Rights Violations and for the Dignity of Victims,United Nations observance
2014-03-25,International Day of Remembrance of Slavery Victims and the Transatlantic Slave Trade,United Nations observance
2014-03-25,International Day of Solidarity with Detained and Missing Staff Members,United Nations observance
2014-03-25,Maryland Day,Local observance
2014-03-26,Prince Jonah Kuhio Kalanianaole Day,State holiday
2014-03-29,Earth Hour,Worldwide observance
2014-03-30,Wyoming Veterans Welcome Home Day,State Observation
2014-03-30,Doctors' Day,Observance
2014-03-30,Vietnam Veterans Day,State Observation
2014-03-31,Seward's Day,State holiday
2014-03-31,César Chávez Day,State holiday
2014-04-01,April Fool's Day,Worldwide observance
2014-04-02,World Autism Awareness Day,United Nations observance
2014-04-02,Pascua Florida Day,Local observance
2014-04-04,United Nations' Mine Awareness Day,United Nations observance
2014-04-06,International Day of Sport for Development and Peace,United Nations observance
2014-04-06,National Tartan Day,Observance
2014-04-07,United Nations' World Health Day,United Nations observance
2014-04-07,Day of Remembrance of the Victims of the Rwanda Genocide,United Nations observance
2014-04-11,Global Youth Service Day,Worldwide observance
2014-04-12,International Day of Human Space Flight,United Nations observance
2014-04-13,Palm Sunday,Christian
2014-04-13,Thomas Jefferson's Birthday,Observance
2014-04-14,Passover Eve,Jewish holiday
2014-04-15,Passover (first day),Jewish holiday
2014-04-15,Tax Day,Observance
2014-04-15,Father Damien Day,Local observance
2014-04-15,National Library Workers' Day,Observance
2014-04-16,Emancipation Day,State holiday
2014-04-17,Maundy Thursday,Christian
2014-04-18,Orthodox Good Friday,Orthodox
2014-04-18,International Day for Monuments and Sites,Worldwide observance
2014-04-18,Good Friday,State holiday
2014-04-19,Holy Saturday,Christian
2014-04-19,Orthodox Holy Saturday,Orthodox
2014-04-20,Orthodox Easter,Orthodox
2014-04-20,Chinese Language Day,United Nations observance
2014-04-20,Easter Sunday,"Observance, Christian"
2014-04-21,Orthodox Easter Monday,Orthodox
2014-04-21,Easter Monday,"Observance, Christian"
2014-04-21,Patriots' Day,State holiday
2014-04-21,San Jacinto Day,State holiday
2014-04-21,Boston Marathon,Sporting event
2014-04-22,Last Day of Passover,Jewish holiday
2014-04-22,Earth Day,United Nations observance
2014-04-22,Oklahoma Day,Local observance
2014-04-23,World Book and Copyright Day,United Nations observance
2014-04-23,English Language Day,United Nations observance
2014-04-23,Administrative Professionals Day,Observance
2014-04-24,International Girls in ICT Day,United Nations observance
2014-04-24,Take our Daughters and Sons to Work Day,Observance
2014-04-25,World Malaria Day,United Nations observance
2014-04-25,Arbor Day,State holiday
2014-04-25,Arbor Day,State Observation
2014-04-26,World Intellectual Property Day,United Nations observance
2014-04-26,Confederate Heroes' Day,Local observance
2014-04-28,Yom HaShoah,Jewish commemoration
2014-04-28,World Day for Safety and Health at Work,United Nations observance
2014-04-28,Arbor Day,State Observation
2014-04-28,Confederate Memorial Day,State holiday
2014-04-28,Confederate Memorial Day,State holiday
2014-04-29,Day of Remembrance for all Victims of Chemical Warfare,United Nations observance
